sno,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,state_code
1,Andhra Pradesh,14702,2016680,1988101,13877,14922,2018200,1989391,13887,28
2,Andaman and Nicobar Islands,7,7567,7431,129,9,7570,7432,129,35
3,Arunachal Pradesh,829,53156,52066,261,793,53217,52162,262,12
4,Assam,6775,590553,578101,5677,6505,591117,578929,5683,18
5,Bihar,90,725728,715984,9654,80,725734,716000,9654,10
6,Chandigarh,37,65110,64259,814,40,65114,64260,814,04
7,Chhattisgarh,385,1004528,990588,13555,381,1004565,990628,13556,22
8,Dadra and Nagar Haveli and Daman and Diu,4,10663,10655,4,6,10665,10655,4,26
10,Delhi,344,1437839,1412413,25082,362,1437874,1412430,25082,07
11,Goa,913,174146,170031,3202,896,174250,170151,3203,30
12,Gujarat,151,825445,815213,10081,149,825461,815230,10082,24
13,Haryana,647,770522,760196,9679,645,770534,760208,9681,06
14,Himachal Pradesh,1788,214004,208612,3604,1767,214193,208818,3608,02
15,Jammu and Kashmir,1320,325618,319889,4409,1380,325714,319925,4409,01
16,Jharkhand,143,347922,342647,5132,141,347933,342660,5132,20
17,Karnataka,18404,2951844,2896079,37361,18430,2953064,2897254,37380,29
18,Kerala,240736,4122133,3860248,21149,246989,4151455,3883186,21280,32
19,Ladakh,68,20573,20298,207,70,20576,20299,207,37
20,Lakshadweep,25,10348,10272,51,22,10348,10275,51,31
21,Madhya Pradesh,91,792197,781590,10516,101,792215,781598,10516,23
22,Maharashtra,54138,6473674,6281985,137551,53999,6477987,6286345,137643,27
23,Manipur,3320,114502,109392,1790,3267,114774,109715,1792,14
24,Meghalaya,2275,76311,72714,1322,2295,76504,72886,1323,17
25,Mizoram,10383,61992,51390,219,10517,62817,52080,220,15
26,Nagaland,778,30204,28802,624,757,30244,28861,626,13
27,Odisha,6556,1009223,994639,8028,6563,1010072,995474,8035,21
28,Puducherry,837,123802,121150,1815,894,123929,121220,1815,34
29,Punjab,353,600715,583927,16435,351,600745,583957,16437,03
30,Rajasthan,84,954108,945070,8954,86,954116,945076,8954,08
31,Sikkim,1055,30025,28599,371,989,30070,28708,373,11
32,Tamil Nadu,16478,2617943,2566504,34961,16370,2619511,2568161,34980,33
34,Telangana,5809,658689,649002,3878,5736,659007,649391,3880,36
33,Tripura,878,83127,81446,803,826,83197,81568,803,16
35,Uttarakhand,383,343034,335264,7387,410,343070,335273,7387,05
36,Uttar Pradesh,258,1709386,1686287,22841,239,1709401,1686308,22854,09
37,West Bengal,8734,1549978,1522772,18472,8694,1550664,1523487,18483,19
11111,,399778,32903289,32063616,439895,405681,32945907,32100001,440225,
